pathways,genes
BIOCARTA_NEUROTRANSMITTERS_PATHWAY,DBH GAD1 HDC PNMT TH TPH1
BIOCARTA_NFKB_PATHWAY,CHUK FADD IKBKB IKBKG IL1A IL1R1 IRAK1 MAP3K1 MAP3K7 MYD88 NFKB1 NFKBIA RELA RIPK1 TAB1 TLR4 TNF TNFAIP3 TNFRSF1A TNFRSF1B TRADD TRAF6
BIOCARTA_NGF_PATHWAY,CSNK2A1 ELK1 FOS GRB2 HRAS JUN MAP2K1 MAPK3 MAPK8 NGF NGFR PIK3CA PIK3CG PIK3R1 PLCG1 RAF1 SHC1 SOS1
BIOCARTA_NKCELLS_PATHWAY,B2M IL18 ITGB1 KLRC1 KLRC3 KLRC4 KLRD1 LAT MAP2K1 MAPK3 PAK1 PIK3CA PIK3R1 PTK2B PTPN6 RAC1 SYK VAV1
BIOCARTA_NKT_PATHWAY,CCR1 CCR2 CCR3 CCR4 CCR5 CCR7 CD28 CD4 CD40LG CSF2 CXCR3 CXCR4 IFNG IFNGR1 IFNGR2 IL12A IL12B IL12RB1 IL12RB2 IL18R1 IL2 IL4 IL4R IL5 TGFB1 TGFB2 TGFB3
BIOCARTA_NO1_PATHWAY,ACTA1 AKT1 BDKRB2 CALM1 CALM3 CAV1 CHRM1 CHRNA1 FLT1 FLT4 HSP90AA1 KDR KNG1 NOS3 PDE2A PDE3A PDE3B PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKG1 PRKG2 RYR2 SLC7A1 TNNI1 VEGFA
BIOCARTA_NO2IL12_PATHWAY,CCR5 CD2 CD247 CD3D CD3E CD3G CD4 CXCR3 IFNG IL12A IL12B IL12RB1 IL12RB2 JAK2 NOS2 STAT4 TYK2
BIOCARTA_P27_PATHWAY,CCNE1 CDK2 CDKN1B CUL1 E2F1 NEDD8 RB1 RBX1 SKP1 SKP2 TFDP1 UBE2M
BIOCARTA_P35ALZHEIMERS_PATHWAY,APP CAPN1 CAPNS1 CAPNS2 CDK5 CDK5R1 CSNK1A1 CSNK1D GSK3B MAPT PPP2CA
BIOCARTA_P38MAPK_PATHWAY,ATF2 CDC42 CREB1 DAXX DDIT3 ELK1 GRB2 HRAS HSPB1 HSPB2 MAP2K4 MAP2K6 MAP3K1 MAP3K5 MAP3K7 MAP3K9 MAPK14 MAPKAPK2 MAPKAPK5 MAX MEF2A MEF2C MEF2D MKNK1 MYC PLA2G4A RAC1 RAPGEF2 RIPK1 RPS6KA5 SHC1 STAT1 TGFB1 TGFB2 TGFB3 TGFBR1 TRADD TRAF2
BIOCARTA_P53HYPOXIA_PATHWAY,ABCB1 AKT1 ATM BAX CDKN1A CSNK1A1 CSNK1D EP300 FHL2 GADD45A HIC1 HIF1A HSP90AA1 IGFBP3 MAPK8 MDM2 NFKBIB NQO1 RPA1 TAF1 TP53
BIOCARTA_P53_PATHWAY,APAF1 ATM BAX BCL2 CCND1 CCNE1 CDK2 CDK4 CDKN1A E2F1 GADD45A MDM2 PCNA RB1 TIMP3 TP53
BIOCARTA_PAR1_PATHWAY,ADCY1 ARHGEF1 ARHGEF10 ARHGEF11 ARHGEF12 ARHGEF15 ARHGEF16 ARHGEF17 ARHGEF18 ARHGEF19 ARHGEF2 ARHGEF3 ARHGEF4 ARHGEF5 ARHGEF6 ARHGEF7 ARHGEF9 F2 F2R F2RL3 GNA12 GNA13 GNAI1 GNAQ GNB1 GNGT1 MAP3K7 PIK3CA PIK3CG PIK3R1 PLCB1 PPP1R12B PRKCA PRKCB PTK2B RHOA ROCK1
BIOCARTA_PARKIN_PATHWAY,GPR37 PARK2 SEPT5 SNCA SNCAIP UBE2E2 UBE2F UBE2G1 UBE2G2 UBE2L3 UBE2L6
BIOCARTA_PDGF_PATHWAY,CSNK2A1 ELK1 FOS GRB2 HRAS JAK1 JUN MAP2K1 MAP2K4 MAP3K1 MAPK3 MAPK8 PDGFA PDGFRA PIK3CA PIK3CG PIK3R1 PLCG1 PRKCA PRKCB RAF1 RASA1 SHC1 SOS1 SRF STAT1 STAT2 STAT3 STAT4 STAT5A STAT5B STAT6
BIOCARTA_PITX2_PATHWAY,APC AXIN1 CREBBP CTNNB1 DVL1 EP300 FZD1 GSK3B HDAC1 LDB1 LEF1 MED1 PITX2 TRRAP WNT1
BIOCARTA_PLATELETAPP_PATHWAY,APP COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 F11 F2 F9 PLAT PLAU PLG SERPINE1
BIOCARTA_PLCE_PATHWAY,ADCY1 ADRB2 GNAS PLCE1 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PTGER1 RAP2B
BIOCARTA_PML_PATHWAY,CREBBP DAXX FAS FASLG HRAS PAX3 PML PRAM1 RARA RB1 SIRT1 SP100 TNF TNFRSF1A TNFRSF1B TP53
BIOCARTA_PROTEASOME_PATHWAY,PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMC2 PSMC3 PSMC4 PSMC6 PSMD11 PSMD12 PSMD14 PSMD6 PSMD8 RPN1 RPN2 UBA1 UBE2A UBE3A
BIOCARTA_PS1_PATHWAY,ADAM17 APC AXIN1 BTRC CTNNB1 DLL1 DVL1 FZD1 GSK3B HNF1A NOTCH1 PSEN1 RBPJ WNT1
BIOCARTA_PTDINS_PATHWAY,AKT1 AP2A1 AP2M1 ARF1 ARHGEF2 BAD BTK EEA1 GSK3A GSK3B LYN PDPK1 PFKL PFKM PFKP PLCG1 PRKCE PRKCZ RAB5A RAC1 RPS6KB1 VAV2
BIOCARTA_PTEN_PATHWAY,AKT1 BCAR1 CDKN1B FASLG FOXO3 GRB2 ILK ITGB1 MAPK1 MAPK3 PDK2 PDPK1 PIK3CA PIK3R1 PTEN PTK2 SHC1 SOS1
BIOCARTA_PYK2_PATHWAY,BCAR1 CALM1 CALM3 CRKL GNAQ GRB2 HRAS JUN MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP3K1 MAPK1 MAPK14 MAPK3 MAPK8 PAK1 PLCG1 PRKCA PRKCB PTK2B RAC1 RAF1 SHC1 SOS1 SRC
BIOCARTA_RAB_PATHWAY,ACTA1 RAB11A RAB1A RAB27A RAB2A RAB3A RAB4A RAB5A RAB7A RAB8A RAB9A
BIOCARTA_RAC1_PATHWAY,ARFIP2 CDK5 CDK5R1 CFL1 CHN1 LIMK1 MAP3K1 MYL2 MYLK NCF2 PAK1 PDGFRA PIK3CA PIK3CG PIK3R1 PLD1 PPP1R12B RAC1 RALBP1 RPS6KB1 TRIO VAV1 WASF1
BIOCARTA_RACCYCD_PATHWAY,AKT1 CCND1 CCNE1 CDK2 CDK4 CDK6 CDKN1A CDKN1B CHUK E2F1 HRAS IKBKB IKBKG MAPK1 MAPK3 NFKB1 NFKBIA PAK1 PIK3CA PIK3R1 RAC1 RAF1 RB1 RELA RHOA TFDP1
BIOCARTA_RANKL_PATHWAY,EIF2AK2 FOS FOSL1 FOSL2 IFNAR1 IFNAR2 IFNB1 IRF9 MAPK8 NFKB1 RELA TNFRSF11A TNFSF11 TRAF6
BIOCARTA_RANMS_PATHWAY,AURKA KIF15 KPNA2 KPNB1 NUMA1 RAN RANBP1 RANGAP1 RCC1 TPX2
BIOCARTA_RARRXR_PATHWAY,ERCC3 GTF2A1 GTF2B GTF2E1 GTF2F1 HDAC3 KAT2B NCOA1 NCOA2 NCOA3 NCOR2 POLR2A RARA RXRA TBP
BIOCARTA_RAS_PATHWAY,AKT1 BAD BCL2L1 CASP9 CDC42 CHUK ELK1 FOXO4 HRAS MAP2K1 MAPK3 NFKB1 PIK3CA PIK3CG PIK3R1 PLD1 RAC1 RAF1 RALA RALBP1 RALGDS RELA RHOA
BIOCARTA_RB_PATHWAY,ATM CDC25B CDC25C CDK1 CDK2 CDK4 CHEK1 MAPK14 MYT1 RB1 TP53 WEE1 YWHAH
BIOCARTA_RELA_PATHWAY,CHUK CREBBP EP300 FADD HDAC3 IKBKB IKBKG NFKB1 NFKBIA RELA RIPK1 TNF TNFRSF1A TNFRSF1B TRADD TRAF6
BIOCARTA_RNA_PATHWAY,CHUK DNAJC3 EIF2AK2 EIF2S1 EIF2S2 NFKB1 NFKBIA RELA TP53
BIOCARTA_SALMONELLA_PATHWAY,ACTA1 ACTR2 ACTR3 ARPC1A ARPC1B ARPC2 ARPC3 ARPC4 ARPC5 CDC42 RAC1 WASF1 WASL
BIOCARTA_SARS_PATHWAY,ANPEP CKM EIF4E FBL GPT LDHA LDHB LDHC MAPK14 NCL
BIOCARTA_SKP2E2F_PATHWAY,CCNA1 CCNE1 CDC34 CDK2 CUL1 E2F1 RB1 SKP1 SKP2 TFDP1
BIOCARTA_SODD_PATHWAY,BAG4 BIRC3 CASP8 FADD RIPK1 TNF TNFRSF1A TNFRSF1B TRADD TRAF2
BIOCARTA_SPPA_PATHWAY,F2 F2R F2RL3 GNAI1 GNB1 GNGT1 HRAS ITGA1 ITGB1 MAP2K1 MAPK1 MAPK3 PLA2G4A PLCB1 PRKCA PRKCB PTGS1 PTK2 RAF1 SRC SYK TBXAS1
BIOCARTA_SPRY_PATHWAY,CBL EGF EGFR GRB2 HRAS MAP2K1 MAPK1 MAPK3 PTPRB RAF1 RASA1 SHC1 SOS1 SPRY1 SPRY2 SPRY4 SRC
BIOCARTA_STATHMIN_PATHWAY,CAMK2A CAMK2B CAMK2D CAMK2G CAMK4 CCNB1 CD2 CD247 CD3D CD3E CD3G CDK1 MAPK13 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B
BIOCARTA_STRESS_PATHWAY,ATF1 CASP2 CHUK CRADD IKBKB IKBKG JUN LTA MAP2K3 MAP2K4 MAP2K6 MAP3K1 MAP4K2 MAPK14 MAPK8 NFKB1 NFKBIA RELA RIPK1 TANK TNF TNFRSF1A TRADD TRAF2
BIOCARTA_TALL1_PATHWAY,CHUK MAPK14 MAPK8 NFKB1 RELA TNFRSF13B TNFRSF13C TNFRSF17 TNFSF13 TNFSF13B TRAF2 TRAF3 TRAF5 TRAF6
BIOCARTA_TCAPOPTOSIS_PATHWAY,CCR5 CD247 CD28 CD3D CD3E CD3G CD4 FAS FASLG
BIOCARTA_TCRA_PATHWAY,CD247 CD3D CD3E CD3G CD4 FYN HLA-DRA LCK PTPRC ZAP70
BIOCARTA_TCR_PATHWAY,CALM1 CALM3 CD247 CD3D CD3E CD3G ELK1 FOS FYN GRB2 HRAS JUN LAT LCK MAP2K1 MAP2K4 MAP3K1 MAPK3 MAPK8 NFATC1 NFATC2 NFATC3 NFATC4 NFKB1 NFKBIA PIK3CA PIK3CG PIK3R1 PLCG1 PPP3CA PPP3CB PPP3CC PRKCA PRKCB PTPN7 RAC1 RAF1 RASA1 RELA SHC1 SOS1 VAV1 ZAP70
BIOCARTA_TCYTOTOXIC_PATHWAY,CD2 CD247 CD28 CD3D CD3E CD3G CD8A ICAM1 ITGAL ITGB2 PTPRC THY1
BIOCARTA_TEL_PATHWAY,AKT1 BCL2 EGFR HSP90AA1 IGF1R KRAS MYC POLR2A PPP2CA PRKCA RB1 TEP1 TERF1 TERT TNKS TP53 XRCC5 XRCC6
BIOCARTA_TFF_PATHWAY,AKT1 APAF1 BAD CASP9 CTNNB1 EGFR GH1 GHR GRB2 HRAS ITGB1 MAPK1 MAPK3 PIK3CA PIK3CG PIK3R1 PTK2 RHOA SHC1 SOS1
BIOCARTA_TGFB_PATHWAY,APC CDH1 CREBBP EP300 MAP2K1 MAP3K7 MAPK3 SKIL SMAD2 SMAD3 SMAD4 SMAD7 TAB1 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 ZFYVE9
BIOCARTA_THELPER_PATHWAY,CD2 CD247 CD28 CD3D CD3E CD3G CD4 ICAM1 ITGAL ITGB2 PTPRC THY1
BIOCARTA_TID_PATHWAY,DNAJA3 IFNG IFNGR1 IFNGR2 IKBKB JAK2 LIN7A NFKB1 NFKBIA RB1 RELA TAX1BP3 TNF TNFRSF1A TNFRSF1B TP53 USH1C WT1
BIOCARTA_TNFR1_PATHWAY,ARHGDIB BAG4 CASP2 CASP3 CASP8 CRADD DFFA DFFB FADD JUN LMNA LMNB1 LMNB2 MADD MAP2K4 MAP3K1 MAP3K7 MAPK8 PAK1 PAK2 PARP1 RB1 RIPK1 SPTAN1 TNF TNFRSF1A TRADD TRAF2
BIOCARTA_TNFR2_PATHWAY,CHUK DUSP1 IKBKAP IKBKB IKBKG LTA MAP3K1 NFKB1 NFKBIA RELA RIPK1 TANK TNFAIP3 TNFRSF1B TRAF1 TRAF2 TRAF3
BIOCARTA_TOB1_PATHWAY,CD247 CD28 CD3D CD3E CD3G IFNG IL2 IL2RA IL4 SMAD3 SMAD4 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 TGFBR3 TOB1 TOB2
BIOCARTA_TOLL_PATHWAY,CD14 CHUK ECSIT EIF2AK2 ELK1 FOS IKBKB IKBKG IRAK1 JUN LY96 MAP2K3 MAP2K4 MAP2K6 MAP3K1 MAP3K7 MAPK14 MAPK8 MYD88 NFKB1 NFKBIA PGLYRP1 PPARA RELA TAB1 TAB2 TIRAP TLR10 TLR2 TLR3 TLR4 TLR6 TLR7 TLR9 TOLLIP TRAF6
BIOCARTA_TPO_PATHWAY,CSNK2A1 FOS GRB2 HRAS JAK2 JUN MAP2K1 MAPK3 MPL PIK3CA PIK3CG PIK3R1 PLCG1 PRKCA PRKCB RAF1 RASA1 SHC1 SOS1 STAT1 STAT3 STAT5A STAT5B THPO
BIOCARTA_TRKA_PATHWAY,AKT1 GRB2 HRAS NGF NTRK1 PIK3CA PIK3R1 PLCG1 PRKCA PRKCB SHC1 SOS1
BIOCARTA_VDR_PATHWAY,CARM1 CREBBP EP300 HDAC1 KAT2B MED1 NCOA1 NCOA2 NCOA3 NCOR1 RXRA TSC2
BIOCARTA_VEGF_PATHWAY,ARNT EIF1 EIF1AX EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 EIF2S1 EIF2S2 EIF2S3 ELAVL1 FLT1 FLT4 HIF1A HRAS KDR NOS3 PIK3CA PIK3CG PIK3R1 PLCG1 PRKCA PRKCB PTK2 PXN SHC1 VEGFA VHL
BIOCARTA_VIP_PATHWAY,CALM1 CALM3 CHUK EGR2 EGR3 GNAQ MAP3K1 MYC NFATC1 NFATC2 NFKB1 NFKBIA PLCG1 PPP3CA PPP3CB PPP3CC PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B RELA VIP VIPR2
BIOCARTA_VITCB_PATHWAY,COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 P4HB SLC23A1 SLC23A2 SLC2A1
BIOCARTA_WNT_PATHWAY,APC AXIN1 BTRC CCND1 CREBBP CSNK1A1 CSNK1D CSNK2A1 CTBP1 CTNNB1 DVL1 FRAT1 FZD1 GSK3B HDAC1 LEF1 MAP3K7 MYC NLK PPARD PPP2CA SMAD4 TAB1 TLE1 WIF1 WNT1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,ABAT ACY3 ADSL ADSS ADSSL1 AGXT AGXT2 ALDH4A1 ALDH5A1 ASL ASNS ASPA ASS1 CAD CPS1 DDO GAD1 GAD2 GFPT1 GFPT2 GLS GLS2 GLUD1 GLUD2 GLUL GOT1 GOT2 GPT GPT2 IL4I1 NIT2 PPAT
KEGG_ALLOGRAFT_REJECTION,CD28 CD40 CD40LG CD80 CD86 FAS FASLG GZMB HLA-B HLA-DMA HLA-DMB HLA-DOA HLA-DOB HLA-DPA1 HLA-DPB1 HLA-DQA2 HLA-DRA HLA-E HLA-F HLA-G IFNG IL10 IL12A IL12B IL2 IL4 IL5 PRF1 TNF
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,AARS AARS2 CARS CARS2 DARS DARS2 EARS2 EPRS FARS2 FARSA FARSB GARS HARS HARS2 IARS IARS2 KARS LARS LARS2 MARS MARS2 MTFMT NARS NARS2 PARS2 PSTK QARS RARS RARS2 SARS SARS2 SEPSECS TARS TARS2 TARSL2 VARS VARS2 WARS WARS2 YARS YARS2
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,AMDHD2 CHIA CHIT1 CMAS CYB5R1 CYB5R3 FUK GALE GALK1 GALK2 GALT GCK GFPT1 GFPT2 GMDS GMPPA GMPPB GNE GNPDA1 GNPDA2 GNPNAT1 GPI HEXA HEXB HK1 HK2 HK3 MPI NAGK NANP NANS NPL PGM1 PGM2 PGM3 PMM1 PMM2 RENBP TSTA3 UAP1 UGDH UGP2 UXS1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,ALDH1B1 ALDH2 ALDH3A2 ALDH7A1 ALDH9A1 MIOX UGDH UGT1A10 UGT1A3 UGT1A4 UGT1A6 UGT1A8 UGT2A1 UGT2A3 UGT2B10 UGT2B4
KEGG_BETA_ALANINE_METABOLISM,ABAT ACADM ALDH1B1 ALDH2 ALDH3A2 ALDH7A1 ALDH9A1 AOC2 AOC3 CNDP1 DPYD DPYS ECHS1 EHHADH GAD1 GAD2 HADHA HIBCH MLYCD SMS SRM UPB1
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,ACAA1 ACOT2 ACOT4 ACOT7 ACOX1 ACOX3 BAAT ELOVL2 ELOVL5 ELOVL6 FADS1 FADS2 HADHA HSD17B12 PECR PTPLA PTPLB SCD SCD5 TECR YOD1
KEGG_BLADDER_CANCER,ARAF BRAF CCND1 CDH1 CDK4 CDKN1A CDKN2A DAPK1 DAPK2 DAPK3 E2F1 E2F2 E2F3 EGF EGFR ERBB2 FGFR3 FIGF HRAS IL8 KRAS MAP2K1 MAP2K2 MAPK1 MAPK3 MDM2 MMP1 MMP2 MMP9 MYC NRAS PGF RAF1 RASSF1 RB1 RPS6KA5 THBS1 TP53 TYMP VEGFA VEGFB VEGFC
KEGG_BUTANOATE_METABOLISM,AACS ABAT ACADS ACAT1 ACAT2 ACSM1 ACSM2A ACSM3 ACSM4 ACSM5 AKR1B10 ALDH1B1 ALDH2 ALDH3A2 ALDH5A1 ALDH7A1 ALDH9A1 BDH1 BDH2 ECHS1 EHHADH GAD1 GAD2 HADH HADHA HMGCL HMGCS1 HMGCS2 L2HGDH OXCT1 OXCT2 PDHA1 PDHA2 PDHB
KEGG_CIRCADIAN_RHYTHM_MAMMAL,ARNTL BHLHE40 BHLHE41 CLOCK CRY1 CRY2 CSNK1D CSNK1E NPAS2 NR1D1 PER1 PER2 PER3
KEGG_CITRATE_CYCLE_TCA_CYCLE,ACLY ACO1 ACO2 CS DLAT DLD DLST FH IDH1 IDH2 IDH3A IDH3B IDH3G MDH1 MDH2 OGDH OGDHL PC PCK1 PCK2 PDHA1 PDHA2 PDHB SDHA SDHB SDHC SDHD SUCLA2 SUCLG1 SUCLG2
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,ADI1 AHCY AHCYL1 AHCYL2 AMD1 APIP BHMT CBS CDO1 CTH DNMT1 DNMT3A DNMT3B DNMT3L ENOPH1 GOT1 GOT2 IL4I1 LDHA LDHAL6A LDHAL6B LDHB LDHC MAT1A MAT2A MAT2B MPST MTAP MTR SDS SMS SRM TAT TRDMT1
KEGG_DORSO_VENTRAL_AXIS_FORMATION,CPEB1 EGFR ETS1 ETS2 ETV6 ETV7 FMN2 GRB2 KRAS MAP2K1 MAPK1 MAPK3 NOTCH1 NOTCH2 NOTCH3 NOTCH4 PIWIL1 PIWIL2 PIWIL3 PIWIL4 SOS1 SOS2 SPIRE1 SPIRE2
KEGG_FOLATE_BIOSYNTHESIS,ALPI ALPL ALPP ALPPL2 DHFR FPGS GCH1 GGH PTS QDPR SPR
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,AKR1B1 AKR1B10 ALDOA ALDOB ALDOC FBP1 FBP2 FUK GMDS GMPPA GMPPB HK1 HK2 HK3 KHK MPI MTMR1 MTMR2 MTMR6 MTMR7 PFKFB1 PFKFB2 PFKFB3 PFKFB4 PFKL PFKM PFKP PHPT1 PMM1 PMM2 SORD TPI1 TSTA3
KEGG_GALACTOSE_METABOLISM,AKR1B1 B4GALT1 B4GALT2 G6PC G6PC2 GAA GALE GALK1 GALK2 GALT GANC GCK GLA GLB1 HK1 HK2 HK3 LALBA LCT MGAM PFKL PFKM PFKP PGM1 PGM2 UGP2
KEGG_GLUTATHIONE_METABOLISM,ANPEP G6PD GCLC GCLM GGCT GGT5 GGT6 GGT7 GPX1 GPX2 GPX3 GPX4 GPX5 GPX6 GPX7 GSR GSS GSTA1 GSTA4 GSTA5 GSTK1 GSTM2 GSTM3 GSTM4 GSTM5 GSTO1 GSTO2 GSTP1 GSTT1 GSTZ1 IDH1 IDH2 LAP3 MGST1 MGST2 MGST3 ODC1 PGD RRM1 RRM2 RRM2B SMS SRM TXNDC12
KEGG_GLYCEROLIPID_METABOLISM,AGK AGPAT1 AGPAT2 AGPAT3 AGPAT4 AGPAT6 AGPAT9 AKR1A1 AKR1B1 ALDH1B1 ALDH2 ALDH3A2 ALDH7A1 ALDH9A1 AWAT2 CEL DAK DGAT1 DGAT2 DGKA DGKB DGKD DGKE DGKG DGKH DGKI DGKQ DGKZ GK GK2 GLA GLYCTK GPAM GPAT2 LCLAT1 LIPC LIPF LIPG LPL MBOAT1 MBOAT2 MGLL PNLIP PNLIPRP1 PNPLA3 PPAP2A PPAP2B PPAP2C
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,AGXT AGXT2 ALAS1 ALAS2 AMT AOC2 AOC3 BHMT CBS CHDH CTH DAO DLD DMGDH GAMT GATM GCAT GLDC GLYCTK GNMT MAOA MAOB PHGDH PIPOX PSAT1 PSPH SARDH SDS SHMT1 SHMT2 SRR
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,B3GALT6 B3GAT1 B3GAT2 B3GAT3 B4GALT7 CHPF CHPF2 CHST11 CHST12 CHST13 CHST14 CHST15 CHST3 CHST7 CHSY1 CHSY3 CSGALNACT1 CSGALNACT2 DSE UST XYLT1 XYLT2
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,B3GALT6 B3GAT1 B3GAT2 B3GAT3 B4GALT7 EXT1 EXT2 EXTL1 EXTL2 EXTL3 GLCE HS2ST1 HS3ST1 HS3ST2 HS3ST3A1 HS3ST3B1 HS3ST5 HS6ST1 HS6ST2 HS6ST3 NDST1 NDST2 NDST3 NDST4 XYLT1 XYLT2
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,B3GNT1 B3GNT2 B3GNT7 B4GALT1 B4GALT2 B4GALT3 B4GALT4 CHST1 CHST2 CHST4 CHST6 FUT8 ST3GAL1 ST3GAL2 ST3GAL3
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,ARSB GALNS GLB1 GNS GUSB HEXA HEXB HGSNAT HPSE HPSE2 HS3ST3A1 HS3ST3B1 HYAL1 HYAL2 HYAL3 HYAL4 IDS IDUA NAGLU SGSH SPAM1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,B3GALT4 B4GALNT1 GLB1 HEXA HEXB SLC33A1 ST3GAL1 ST3GAL2 ST3GAL5 ST6GALNAC3 ST6GALNAC4 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA5
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,A4GALT B3GALNT1 B3GALT5 FUT1 FUT2 FUT9 GBGT1 GLA HEXA HEXB NAGA ST3GAL1 ST3GAL2 ST8SIA1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,B3GALT1 B3GALT2 B3GALT5 B3GNT1 B3GNT2 B3GNT3 B3GNT4 B3GNT5 B4GALT1 B4GALT2 B4GALT3 B4GALT4 FUT1 FUT2 FUT3 FUT4 FUT5 FUT6 FUT7 FUT9 GCNT2 ST3GAL3 ST3GAL4 ST3GAL6 ST8SIA1
KEGG_GRAFT_VERSUS_HOST_DISEASE,CD28 CD80 CD86 FAS FASLG GZMB HLA-B HLA-DMA HLA-DMB HLA-DOA HLA-DOB HLA-DPA1 HLA-DPB1 HLA-DQA2 HLA-DRA HLA-E HLA-F HLA-G IFNG IL1A IL1B IL2 IL6 KIR2DL1 KIR3DL1 KIR3DL2 KLRC1 KLRD1 PRF1 TNF
KEGG_HISTIDINE_METABOLISM,ACY3 ALDH1A3 ALDH1B1 ALDH2 ALDH3A1 ALDH3A2 ALDH3B2 ALDH7A1 ALDH9A1 AMDHD1 ASPA CNDP1 DDC FTCD HAL HDC HEMK1 HNMT LCMT1 LCMT2 MAOA MAOB METTL6 TRMT11 UROC1 WBSCR22
KEGG_LINOLEIC_ACID_METABOLISM,AKR1B10 ALOX15 CYP1A2 CYP2C18 CYP2C19 CYP2C8 CYP2C9 CYP2E1 CYP2J2 CYP3A43 CYP3A5 CYP3A7 PLA2G10 PLA2G12A PLA2G12B PLA2G1B PLA2G2A PLA2G2C PLA2G2D PLA2G2E PLA2G2F PLA2G3 PLA2G4A PLA2G4E PLA2G5 PLA2G6
KEGG_LYSINE_DEGRADATION,AADAT AASDH AASDHPPT AASS ACAT1 ACAT2 ALDH1B1 ALDH2 ALDH3A2 ALDH7A1 ALDH9A1 ASH1L BBOX1 DLST DOT1L ECHS1 EHHADH EHMT1 EHMT2 GCDH HADH HADHA NSD1 OGDH OGDHL PIPOX PLOD1 PLOD2 PLOD3 SETD1A SETD1B SETD2 SETD7 SETD8 SETDB1 SETDB2 SETMAR SUV39H1 SUV39H2 SUV420H1 SUV420H2 TMLHE WHSC1 WHSC1L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,BHLHA15 FOXA2 FOXA3 GCK HES1 HHEX HNF1A HNF1B HNF4A HNF4G IAPP INS MAFA MNX1 NEUROD1 NEUROG3 NKX2-2 NKX6-1 NR5A2 ONECUT1 PAX4 PAX6 PDX1 PKLR SLC2A2
KEGG_NITROGEN_METABOLISM,AMT ASNS CA1 CA12 CA13 CA14 CA2 CA3 CA4 CA5A CA5B CA6 CA7 CA8 CA9 CPS1 CTH GLS GLS2 GLUD1 GLUD2 GLUL HAL
KEGG_NON_HOMOLOGOUS_END_JOINING,DCLRE1C DNTT FEN1 LIG4 MRE11A NHEJ1 POLL POLM RAD50 XRCC4 XRCC5 XRCC6
KEGG_N_GLYCAN_BIOSYNTHESIS,ALG1 ALG11 ALG12 ALG13 ALG14 ALG2 ALG3 ALG5 ALG6 ALG8 ALG9 B4GALT1 B4GALT2 B4GALT3 DAD1 DDOST DOLPP1 DPAGT1 DPM1 DPM2 DPM3 FUT8 GANAB MAN1A1 MAN1A2 MAN1B1 MAN1C1 MAN2A1 MAN2A2 MGAT1 MGAT2 MGAT3 MGAT4A MGAT4B MGAT5 MGAT5B MOGS RFT1 RPN1 RPN2 ST6GAL1 STT3A STT3B TUSC3
KEGG_ONE_CARBON_POOL_BY_FOLATE,ALDH1L1 AMT ATIC DHFR FTCD GART MTFMT MTHFD1 MTHFD1L MTHFD2 MTHFR MTHFS MTR SHMT1 SHMT2 TYMS
KEGG_OTHER_GLYCAN_DEGRADATION,AGA ENGASE FUCA1 FUCA2 GBA GLB1 HEXA HEXB MAN2B1 MAN2B2 MAN2C1 MANBA NEU1 NEU2 NEU3 NEU4
